B,0,0
B,1,0
B,2,0
B,3,0
B,4,0
B,5,0
B,6,0
B,7,0
B,0,1
B,1,1
B,2,1
B,3,1
B,4,1
B,5,1
B,6,1
B,7,1
B,0,2
B,1,2
B,2,2
B,3,2
B,4,2
B,5,2
B,6,2
B,7,2
B,0,3
B,1,3
B,2,3
B,3,3
B,4,3
B,5,3
B,6,3
B,7,3
B,0,4
B,1,4
B,2,4
B,3,4
B,4,4
B,5,4
B,6,4
B,7,4
B,0,5
B,1,5
B,2,5
B,3,5
B,4,5
B,5,5
B,6,5
B,7,5
B,0,6
B,1,6
B,2,6
B,3,6
B,4,6
B,5,6
B,6,6
B,7,6
B,0,7
B,1,7
B,2,7
B,3,7
B,4,7
B,5,7
B,6,7
B,7,7
B,0,8
B,1,8
B,2,8
B,3,8
B,4,8
B,5,8
B,6,8
B,7,8
B,0,9
B,1,9
B,2,9
B,3,9
B,4,9
B,5,9
B,6,9
B,7,9
B,0,10
B,1,10
B,2,10
B,3,10
B,4,10
B,5,10
B,6,10
B,7,10
B,0,11
B,1,11
B,2,11
B,3,11
B,4,11
B,5,11
B,6,11
B,7,11
B,0,12
B,1,12
B,2,12
B,3,12
B,4,12
B,5,12
B,6,12
B,7,12
B,0,13
B,1,13
B,2,13
B,3,13
B,4,13
B,5,13
B,6,13
B,7,13
B,0,14
B,1,14
B,2,14
B,3,14
B,4,14
B,5,14
B,6,14
B,7,14
B,0,15
B,1,15
B,2,15
B,3,15
B,4,15
B,5,15
B,6,15
B,7,15
B,0,16
B,1,16
B,2,16
B,3,16
B,4,16
B,5,16
B,6,16
B,7,16
B,0,17
B,1,17
B,2,17
B,3,17
B,4,17
B,5,17
B,6,17
B,7,17
B,0,18
B,1,18
B,2,18
B,3,18
B,4,18
B,5,18
B,6,18
B,7,18
B,0,19
B,1,19
B,2,19
B,3,19
B,4,19
B,5,19
B,6,19
B,7,19
B,0,20
B,1,20
B,2,20
B,3,20
B,4,20
B,5,20
B,6,20
B,7,20
B,0,21
B,1,21
B,2,21
B,3,21
B,4,21
B,5,21
B,6,21
B,7,21
B,0,22
B,1,22
B,2,22
B,3,22
B,4,22
B,5,22
B,6,22
B,7,22
B,0,23
B,1,23
B,2,23
B,3,23
B,4,23
B,5,23
B,6,23
B,7,23
B,0,24
B,1,24
B,2,24
B,3,24
B,4,24
B,5,24
B,6,24
B,7,24
B,0,25
B,1,25
B,2,25
B,3,25
B,4,25
B,5,25
B,6,25
B,7,25
B,0,26
B,1,26
B,2,26
B,3,26
B,4,26
B,5,26
B,6,26
B,7,26
B,0,27
B,1,27
B,2,27
B,3,27
B,4,27
B,5,27
B,6,27
B,7,27
B,0,28
B,1,28
B,2,28
B,3,28
B,4,28
B,5,28
B,6,28
B,7,28
B,0,29
B,1,29
B,2,29
B,3,29
B,4,29
B,5,29
B,6,29
B,7,29
B,0,30
B,1,30
B,2,30
B,3,30
B,4,30
B,5,30
B,6,30
B,7,30
B,0,31
B,1,31
B,2,31
B,3,31
B,4,31
B,5,31
B,6,31
B,7,31
